"id","gloss","stem","actual_phonology","model_phonology","type","language","num_morphemes","num_tokens","utterance_order","corpus_name","part_of_speech","speaker_code","speaker_name","speaker_role","target_child_name","target_child_age","target_child_sex","media_start","media_end","media_unit","collection_name","collection_id","corpus_id","speaker_id","target_child_id","transcript_id","clean_utterances","bin","dont_pos","condensed_pos","v_utterances","do"
291378,"I don't know","I do know","","","declarative","eng",4,3,171,"Valian","pro:sub mod v","CHI",NA,"Target_Child",NA,21.6903837861147,"female",NA,NA,NA,"Eng-NA",2,33,1704,1704,3307,"I don't know","21-22","pro:sub don't v","n mod v","I don't v","don't"
292119,"I don't want xxx","I do want","","","declarative","eng",4,4,16,"Valian","pro:sub mod v","CHI",NA,"Target_Child",NA,27.4933776874268,"female",NA,NA,NA,"Eng-NA",2,33,1704,1704,3317,"I don't want ","27-28","pro:sub don't v","n mod v","I don't v","don't"
294662,"I don't want it","I do want it","","","declarative","eng",5,4,280,"Valian","pro:sub mod v pro:per","CHI",NA,"Target_Child",NA,27.4276679192591,"female",NA,NA,NA,"Eng-NA",2,33,1704,1704,3315,"I don't want it","27-28","pro:sub don't v pro:per","n mod v n","I don't v it","don't"
297720,"I don't wanna do it","I do want do it","","","declarative","eng",7,5,250,"Valian","pro:sub mod v v pro:per","CHI",NA,"Target_Child",NA,30.7234234789215,"female",NA,NA,NA,"Eng-NA",2,33,1704,1704,3318,"I don't wanna do it","30-31","pro:sub don't v do pro:per","n mod v v n","I don't v v it","don't"
299331,"I don't know what that is","I do know what that be","","","declarative","eng",8,6,35,"Valian","pro:sub mod v pro:int adv cop","CHI",NA,"Target_Child",NA,27.2633934988398,"female",NA,NA,NA,"Eng-NA",2,33,1704,1704,3327,"I don't know what that is","27-28","pro:sub don't v pro:int adv cop","n mod v n adv cop","I don't v what that is","don't"
299426,"I don't know name of them","I do know name of them","","","declarative","eng",7,6,552,"Valian","pro:sub mod v n prep pro:obj","CHI",NA,"Target_Child",NA,21.9203679747017,"female",NA,NA,NA,"Eng-NA",2,33,1704,1704,3310,"I don't know name of them","21-22","pro:sub don't v n prep pro:obj","n mod v n prep n","I don't v name of them","don't"
299655,"I don't know","I do know","","","declarative","eng",4,3,49,"Valian","pro:sub mod v","CHI",NA,"Target_Child",NA,27.2633934988398,"female",NA,NA,NA,"Eng-NA",2,33,1704,1704,3327,"I don't know","27-28","pro:sub don't v","n mod v","I don't v","don't"
299886,"I don't know","I do know","","","declarative","eng",4,3,60,"Valian","pro:sub mod v","CHI",NA,"Target_Child",NA,27.2633934988398,"female",NA,NA,NA,"Eng-NA",2,33,1704,1704,3327,"I don't know","27-28","pro:sub don't v","n mod v","I don't v","don't"
299993,"I don't know","I do know","","","declarative","eng",4,3,65,"Valian","pro:sub mod v","CHI",NA,"Target_Child",NA,27.2633934988398,"female",NA,NA,NA,"Eng-NA",2,33,1704,1704,3327,"I don't know","27-28","pro:sub don't v","n mod v","I don't v","don't"
300302,"I don't see my broom","I do see my broom","","","declarative","eng",6,5,547,"Valian","pro:sub mod v det:poss n","CHI",NA,"Target_Child",NA,22.4932750159141,"female",NA,NA,NA,"Eng-NA",2,33,1704,1704,3314,"I don't see my broom","22-23","pro:sub don't v det:poss n","n mod v det n","I don't v my broom","don't"
300413,"I don't know","I do know","","","declarative","eng",4,3,85,"Valian","pro:sub mod v","CHI",NA,"Target_Child",NA,27.2633934988398,"female",NA,NA,NA,"Eng-NA",2,33,1704,1704,3327,"I don't know","27-28","pro:sub don't v","n mod v","I don't v","don't"
300621,"I don't know","I do know","","","declarative","eng",4,3,95,"Valian","pro:sub mod v","CHI",NA,"Target_Child",NA,27.2633934988398,"female",NA,NA,NA,"Eng-NA",2,33,1704,1704,3327,"I don't know","27-28","pro:sub don't v","n mod v","I don't v","don't"
300625,"I don't know","I do know","","","declarative","eng",4,3,23,"Valian","pro:sub mod v","CHI",NA,"Target_Child",NA,27.5590874555946,"female",NA,NA,NA,"Eng-NA",2,33,1704,1704,3328,"I don't know","27-28","pro:sub don't v","n mod v","I don't v","don't"
301106,"I don't know","I do know","","","declarative","eng",4,3,117,"Valian","pro:sub mod v","CHI",NA,"Target_Child",NA,27.2633934988398,"female",NA,NA,NA,"Eng-NA",2,33,1704,1704,3327,"I don't know","27-28","pro:sub don't v","n mod v","I don't v","don't"
301163,"I don't know","I do know","","","declarative","eng",4,3,119,"Valian","pro:sub mod v","CHI",NA,"Target_Child",NA,27.2633934988398,"female",NA,NA,NA,"Eng-NA",2,33,1704,1704,3327,"I don't know","27-28","pro:sub don't v","n mod v","I don't v","don't"
301341,"I don't know","I do know","","","declarative","eng",4,3,56,"Valian","pro:sub mod v","CHI",NA,"Target_Child",NA,27.5590874555946,"female",NA,NA,NA,"Eng-NA",2,33,1704,1704,3328,"I don't know","27-28","pro:sub don't v","n mod v","I don't v","don't"
301391,"no I don't wanna","no I do want","","","declarative","eng",6,4,599,"Valian","co pro:sub mod v","CHI",NA,"Target_Child",NA,22.4932750159141,"female",NA,NA,NA,"Eng-NA",2,33,1704,1704,3314,"no I don't wanna","22-23","co pro:sub don't v","no:co n mod v","no I don't v","don't"
301396,"I don't want that elegator","I do want that elevator","","","declarative","eng",6,5,528,"Valian","pro:sub mod v comp n","CHI",NA,"Target_Child",NA,27.4933776874268,"female",NA,NA,NA,"Eng-NA",2,33,1704,1704,3317,"I don't want that elegator","27-28","pro:sub don't v comp n","n mod v comp n","I don't v that elegator","don't"
301497,"I don't know","I do know","","","declarative","eng",4,3,136,"Valian","pro:sub mod v","CHI",NA,"Target_Child",NA,27.2633934988398,"female",NA,NA,NA,"Eng-NA",2,33,1704,1704,3327,"I don't know","27-28","pro:sub don't v","n mod v","I don't v","don't"
301610,"I don't wanna","I do want","","","declarative","eng",5,3,610,"Valian","pro:sub mod v","CHI",NA,"Target_Child",NA,22.4932750159141,"female",NA,NA,NA,"Eng-NA",2,33,1704,1704,3314,"I don't wanna","22-23","pro:sub don't v","n mod v","I don't v","don't"
301735,"I don't know","I do know","","","declarative","eng",4,3,75,"Valian","pro:sub mod v","CHI",NA,"Target_Child",NA,27.5590874555946,"female",NA,NA,NA,"Eng-NA",2,33,1704,1704,3328,"I don't know","27-28","pro:sub don't v","n mod v","I don't v","don't"
301905,"I don't know","I do know","","","declarative","eng",4,3,84,"Valian","pro:sub mod v","CHI",NA,"Target_Child",NA,27.5590874555946,"female",NA,NA,NA,"Eng-NA",2,33,1704,1704,3328,"I don't know","27-28","pro:sub don't v","n mod v","I don't v","don't"
302065,"I don't wanna","I do want","","","declarative","eng",5,3,633,"Valian","pro:sub mod v","CHI",NA,"Target_Child",NA,22.4932750159141,"female",NA,NA,NA,"Eng-NA",2,33,1704,1704,3314,"I don't wanna","22-23","pro:sub don't v","n mod v","I don't v","don't"
302129,"no I don't wanna","no I do want","","","declarative","eng",6,4,636,"Valian","co pro:sub mod v","CHI",NA,"Target_Child",NA,22.4932750159141,"female",NA,NA,NA,"Eng-NA",2,33,1704,1704,3314,"no I don't wanna","22-23","co pro:sub don't v","no:co n mod v","no I don't v","don't"
302372,"I don't","I do","","","declarative","eng",3,2,649,"Valian","pro:sub mod","CHI",NA,"Target_Child",NA,22.4932750159141,"female",NA,NA,NA,"Eng-NA",2,33,1704,1704,3314,"I don't","22-23","pro:sub don't","n mod","I don't","don't"
302531,"I don't know","I do know","","","declarative","eng",4,3,188,"Valian","pro:sub mod v","CHI",NA,"Target_Child",NA,27.2633934988398,"female",NA,NA,NA,"Eng-NA",2,33,1704,1704,3327,"I don't know","27-28","pro:sub don't v","n mod v","I don't v","don't"
302834,"I don't know","I do know","","","declarative","eng",4,3,129,"Valian","pro:sub mod v","CHI",NA,"Target_Child",NA,27.5590874555946,"female",NA,NA,NA,"Eng-NA",2,33,1704,1704,3328,"I don't know","27-28","pro:sub don't v","n mod v","I don't v","don't"
302879,"no I don't","no I do","","","declarative","eng",4,3,676,"Valian","co pro:sub mod","CHI",NA,"Target_Child",NA,22.4932750159141,"female",NA,NA,NA,"Eng-NA",2,33,1704,1704,3314,"no I don't","22-23","co pro:sub don't","no:co n mod","no I don't","don't"
302890,"I don't","I do","","","declarative","eng",3,2,677,"Valian","pro:sub mod","CHI",NA,"Target_Child",NA,22.4932750159141,"female",NA,NA,NA,"Eng-NA",2,33,1704,1704,3314,"I don't","22-23","pro:sub don't","n mod","I don't","don't"
302931,"I don't wanna","I do want","","","declarative","eng",5,3,679,"Valian","pro:sub mod v","CHI",NA,"Target_Child",NA,22.4932750159141,"female",NA,NA,NA,"Eng-NA",2,33,1704,1704,3314,"I don't wanna","22-23","pro:sub don't v","n mod v","I don't v","don't"
302932,"those don't squeak","those do squeak","","","declarative","eng",4,3,210,"Valian","pro:dem mod v","CHI",NA,"Target_Child",NA,27.2633934988398,"female",NA,NA,NA,"Eng-NA",2,33,1704,1704,3327,"those don't squeak","27-28","pro:dem don't v","n mod v","those don't v","don't"
303333,"I don't know","I do know","","","declarative","eng",4,3,1003,"Valian","pro:sub mod v","CHI",NA,"Target_Child",NA,25.0990780098154,"female",NA,NA,NA,"Eng-NA",2,33,1704,1704,3306,"I don't know","25-26","pro:sub don't v","n mod v","I don't v","don't"
303562,"I don't know","I do know","","","declarative","eng",4,3,167,"Valian","pro:sub mod v","CHI",NA,"Target_Child",NA,27.5590874555946,"female",NA,NA,NA,"Eng-NA",2,33,1704,1704,3328,"I don't know","27-28","pro:sub don't v","n mod v","I don't v","don't"
304230,"I don't know","I do know","","","declarative","eng",4,3,283,"Valian","pro:sub mod v","CHI",NA,"Target_Child",NA,27.2633934988398,"female",NA,NA,NA,"Eng-NA",2,33,1704,1704,3327,"I don't know","27-28","pro:sub don't v","n mod v","I don't v","don't"
304296,"I don't know","I do know","","","declarative","eng",4,3,288,"Valian","pro:sub mod v","CHI",NA,"Target_Child",NA,27.2633934988398,"female",NA,NA,NA,"Eng-NA",2,33,1704,1704,3327,"I don't know","27-28","pro:sub don't v","n mod v","I don't v","don't"
